[u'Design Automation Conference', u'DAC', 33]
[u'Conference on Recommender Systems', u'RecSys', 33]
[u'IEEE International Conference on DataMining', u'ICDM', 33]
[u'USENIX Symposium on Operating Systems Design and Implementations', u'OSDI', 33]
[u'Computers & Chemical Engineering', u'CCE', 33]
[u'IEEE Transactions on Services Computing ', u'TSC', 33]
[u'Journal of Web Semantics', u'J. Web Sem.', 33]
[u'Theoretical Computer Science', u'TCS', 33]
[u'Systems & Control Letters', u'SCL', 32]
[u'Computational Statistics & Data Analysis', u'CS&DA', 32]
[u'Personal and Ubiquitous Computing', u'PUC', 32]
[u'Computers & Industrial Engineering', u'COMPUT IND ENG', 32]
[u'MICRO', u'MICRO', 32]
[u'ACM-SIAM Symposium on Discrete Algorithms', u'SODA', 32]
[u'Conference on Decision and Control', u'CDC', 32]
[u'Language Resources and Evaluation', u'LREC', 32]
[u'International Semantic Web Conference (1)', u'International Semantic Web Conference', 32]
[u'Selected Areas in Cryptography', u'SAC', 32]
[u'International Conference on Artificial Intelligence and Statistics', u'AISTATS', 32]
[u'International Conference on Image Processing', u'ICIP', 32]
[u'Journal of Computer and System Sciences ', u'J. Comput. Syst. Sci.', 32]
[u'Journal of Informetrics ', u'JOI', 32]
[u'SIAM Journal on Imaging Sciences', u'SIIMS', 32]
[u'Robotics and Autonomous Systems', u'RaS', 31]
[u'Cognitive Science Society Annual Conference', u'CogSci', 31]
[u'International Conference on Pattern Recognition', u'ICPR', 31]
[u'ECCV (4)', u'ECCV', 31]
[u'ECCV (3)', u'ECCV', 31]
[u'USENIX Annual Technical Conference', u'USENIX ATC', 31]
[u'IEEE Symposium on Foundations of Computer Science', u'FOCS', 31]
[u'Journal of Management Information Systems', u'JMIS', 31]
[u'International Journal of Medical Informatics', u'IJMI', 31]
[u'IEEE Transactions on Neural Networks and Learning Systems', u'TNNLS', 31]
[u'IEEE Transactions on Automation Science and Engineering', u'TASE', 31]
[u'IEEE Transactions on Dependable and Secure Computing', u'TDSC', 31]
[u'International Journal of Approximate Reasoning', u'IJAR', 31]
[u'Knowledge and Information Systems ', u'KAIS', 31]
[u'Engineering Applications of Artificial Intelligence', u'EAAI', 31]
[u'Neural Computation', u'NC', 30]
[u'International Journal of Geographical Information Science', u'IJGIS', 30]
[u'Hawaii International Conference on System Sciences', u'HICSS', 30]
[u'High-Performance Distributed Computing', u'HPDC', 30]
[u'European Cryptology Conference', u'EUROCRYPT', 30]
[u'ECCV (2)', u'ECCV', 30]
[u'ECCV (6)', u'ECCV', 30]
[u'International Conference on Information Processing in Sensor Networks', u'IPSN', 30]
[u'British Machine Vision Conference', u'BMVC', 30]
[u'Conference On Embedded Networked Sensor Systems', u'SenSys', 30]
[u'Automated Software Engineering', u'ASE', 30]
[u'IEEE/ACM Transactions on Computational Biology and Bioinformatics', u'TCBB', 30]
[u'Journal of the ACM', u'JACM', 30]
[u'IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems', u'TCAD', 30]
[u'Journal of Parallel and Distributed Computing', u'JPDC', 30]
[u'ACM Transactions on Algorithms', u'TALG', 30]
[u' SIAM Journal on Numerical Analysis', u'SINUM', 30]
[u'Pervasive and Mobile Computing', u'PMC', 29]
[u'International Conference on Extending DB Technology', u'EDBT', 29]
[u'Annual Computer Security Applications Conference', u'ACSAC', 29]
[u'International Conference On Cloud Computing Technology And Science', u'CloudCom', 29]
[u'ACM Symposium on Theory of Computing', u'STOC', 29]
[u'ACM International Conference on Ubiquitous Computing', u'UbiComp', 29]
[u'SIAM International Conference on Data Mining', u'SDM', 29]
[u'Reliability Engineering & System Safety', u'Rel. Eng. & Sys. Safety', 29]
[u'Journal of Computational and Applied Mathematics', u'JCAM', 29]
[u'Concurrency and Computation: Practice and Experience', u'CCPE', 29]
[u'Computer Communication Review', u'CCR', 29]
[u'Speech Communication', u'Speech Com', 28]
[u'IEEE Software', u'SOFTWARE', 28]
[u'IEEE Wireless Communications & Networking Conference', u'WCNC', 28]
[u'Parallel Architectures and Compilation Techniques', u'PACT', 28]
[u'Conference on Object-Oriented Programming Systems, Languages, and Applications', u'OOPSLA', 28]
[u'ACM International Conference on emerging Networking EXperiments and Technologies', u'CoNEXT', 28]
[u'ECCV (5)', u'ECCV', 28]
[u'Human-Robot Interaction', u'HRI', 28]
[u'Tools and Algorithms for Construction and Analysis of Systems', u'TACAS', 28]
[u'Conference on File and Storage Technologies', u'FAST', 28]
[u'Journal of Computer Assisted Learning', u'JCAL', 28]
[u'ACM Transactions on Sensor Networks', u'TOSN', 28]
[u'Information Systems', u'IS', 28]
[u'SIAM Journal on Control and Optimization', u'SICON', 28]
[u'Annals of Operations Research', u'Annals OR', 28]
[u'Computers & Geosciences', u'COMPUT GEOSCI', 27]
[u'Computer Methods and Programs in Biomedicine', u'CMPB', 27]
[u'Social Networks', u'SOC NETWORKS', 27]
[u'The Workshop on Hot Topics in Networks', u'HotNets', 27]
[u'Genetic and Evolutionary Computation Conference', u'GECCO', 27]
[u'International Conference on Social Computing/Privacy, Security, Risk and Trust ', u'SocialCom/PASSAT', 27]
[u'international conference on Human-computer interaction with mobile devices & services', u'Mobile HCI', 27]
[u'the international journal on very large data bases', u'VLDB Journal', 27]
[u'ACM Transactions on Intelligent Systems and Technology', u'ACM TIST', 27]
[u'Applied Mathematics Letters ', u'Appl. Math. Lett.', 27]
[u'IEEE Geoscience and Remote Sensing Letters', u'GRSL', 27]
[u'Journal of Field Robotics', u'JFR', 27]
[u'International Journal of Human-Computer Studies', u'IJHCS', 27]
[u'Journal of Software', u'JSW', 27]
[u'Computational Linguistics', u'CL', 26]
[u'Empirical Software Engineering', u'ESE', 26]
[u'Advanced Engineering Informatics', u'AEI', 26]
